,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,mogadishu,2.04,45.34,76.46,77,58,19.24,SO,1595467909
89,thompson,55.74,-97.86,77.0,57,40,2.24,CA,1595467635
90,santiago,-33.46,-70.65,46.4,75,0,5.82,CL,1595467725
91,samana,19.21,-69.34,79.27,83,82,8.23,DO,1595467909
92,georgetown,5.41,100.34,80.6,83,20,3.36,MY,1595467910
93,bredasdorp,-34.53,20.04,57.2,93,0,2.24,ZA,1595467910
94,kroya,-7.63,109.25,79.81,74,88,9.62,ID,1595467910
95,havoysund,71.0,24.66,46.4,93,75,18.34,NO,1595467910
96,panaba,21.28,-88.27,77.65,88,8,6.98,MX,1595467910
97,srednekolymsk,67.45,153.68,86.43,27,83,7.2,RU,1595467910
98,narsaq,60.92,-46.05,64.4,57,100,28.86,GL,1595467701
99,faanui,-16.48,-151.75,77.25,77,0,17.54,PF,1595467910
100,kropotkin,45.44,40.58,63.75,81,0,6.17,RU,1595467910
101,catamarca,-28.47,-65.79,52.0,74,46,8.08,AR,1595467910
102,hermanus,-34.42,19.23,53.01,96,0,1.99,ZA,1595467911
103,ust-nera,64.57,143.2,81.73,28,100,3.6,RU,1595467911
104,tiksi,71.69,128.87,58.39,75,41,5.35,RU,1595467911
105,vysokogornyy,50.12,139.15,65.53,76,100,4.07,RU,1595467911
106,mizdah,31.45,12.98,64.44,82,0,3.42,LY,1595467911
107,new norfolk,-42.78,147.06,53.01,77,100,3.0,AU,1595467776
108,aljezur,37.32,-8.8,71.01,75,0,6.8,PT,1595467911
109,katsuura,35.13,140.3,79.0,86,100,1.63,JP,1595467702
110,nichinan,31.6,131.37,87.8,62,75,12.75,JP,1595467911
111,ribeira grande,38.52,-28.7,70.29,69,17,2.93,PT,1595467912
112,piacabucu,-10.41,-36.43,74.52,81,0,10.78,BR,1595467912
113,kiunga,-6.12,141.29,81.84,75,87,3.2,PG,1595467912
114,chuy,-33.7,-53.46,63.95,94,100,6.78,UY,1595467912
115,quime,-16.98,-67.22,47.01,67,15,3.0,BO,1595467912
116,vallenar,-28.57,-70.76,50.88,64,0,1.59,CL,1595467874
117,utica,43.1,-75.23,71.6,94,75,3.36,US,1595467634
118,severo-kurilsk,50.68,156.12,52.02,86,100,3.56,RU,1595467912
119,yellowknife,62.46,-114.35,64.99,93,75,6.93,CA,1595467858
120,hamilton,39.18,-84.53,80.01,88,1,3.36,US,1595467721
121,goshogawara,40.8,140.44,75.2,73,75,9.17,JP,1595467913
122,san pedro,14.35,121.02,91.0,62,0,6.93,PH,1595467913
123,lamar,33.67,-95.58,82.99,78,20,11.41,US,1595467913
124,meulaboh,4.14,96.13,78.58,85,100,4.59,ID,1595467913
125,kisesa,-3.08,34.15,61.12,71,0,4.25,TZ,1595467913
126,ponta delgada,37.73,-25.67,64.4,77,20,4.7,PT,1595467913
127,manta,-0.95,-80.73,73.4,83,75,9.17,EC,1595467913
128,huilong,31.81,121.66,90.0,73,100,4.0,CN,1595467913
129,kavaratti,10.57,72.64,82.76,74,100,6.73,IN,1595467913
130,taoudenni,22.68,-3.98,101.34,20,38,8.79,ML,1595467913
131,kaitangata,-46.28,169.85,44.01,65,95,13.0,NZ,1595467913
132,kasempa,-13.46,25.83,47.93,74,0,5.37,ZM,1595467914
133,ponta do sol,32.67,-17.1,69.8,68,20,11.41,PT,1595467914
134,mollendo,-17.02,-72.01,59.32,79,69,7.23,PE,1595467914
135,novovasylivka,46.83,35.75,61.54,68,64,6.55,UA,1595467744
136,hirado,33.36,129.55,82.4,83,75,9.17,JP,1595467914
137,flinders,-34.58,150.86,62.01,70,1,4.0,AU,1595467914
138,san matias,-16.37,-58.4,72.95,33,0,4.56,BO,1595467914
139,qaanaaq,77.48,-69.36,44.92,58,0,0.74,GL,1595467914
140,padang,-0.95,100.35,75.2,94,75,10.29,ID,1595467914
141,dauphin,51.15,-100.05,75.2,64,20,8.05,CA,1595467914
142,tambura,5.6,27.47,67.21,95,100,3.87,SS,1595467914
143,jabinyanah,35.03,10.91,73.4,64,0,4.7,TN,1595467915
144,tubuala,9.52,-79.03,80.6,83,40,5.82,PA,1595467915
145,alnashi,56.19,52.48,60.69,93,100,6.8,RU,1595467915
146,atuona,-9.8,-139.03,79.05,75,1,17.9,PF,1595467915
147,skjervoy,70.03,20.97,47.86,91,100,18.3,NO,1595467915
148,coolum beach,-26.53,153.1,60.01,90,100,3.0,AU,1595467915
149,zapolyarnyy,69.42,30.81,51.8,87,84,8.05,RU,1595467915
150,souillac,-20.52,57.52,69.8,52,75,17.22,MU,1595467915
151,miri,4.41,114.01,80.6,88,40,5.82,MY,1595467916
152,krasnokamensk,50.1,118.04,81.25,49,100,12.12,RU,1595467916
153,inirida,3.87,-67.92,73.96,87,100,1.63,CO,1595467916
154,saint-augustin,51.23,-58.65,61.12,61,48,8.12,CA,1595467916
155,jamestown,42.1,-79.24,72.0,94,90,5.82,US,1595467916
156,lata,40.16,-8.33,69.01,96,0,1.05,PT,1595467916
157,dikson,73.51,80.55,39.94,91,99,9.01,RU,1595467916
158,waiuku,-37.25,174.75,61.0,67,58,24.16,NZ,1595467916
159,kandrian,-6.22,149.55,81.36,83,92,11.81,PG,1595467916
160,turukhansk,65.82,87.98,62.85,49,100,9.62,RU,1595467916
161,mackay,-21.15,149.2,64.99,87,99,17.22,AU,1595467917
162,belaya gora,68.53,146.42,91.8,24,1,6.04,RU,1595467917
163,clyde river,70.47,-68.59,46.4,81,90,2.24,CA,1595467917
164,moron,-34.65,-58.62,59.0,99,100,1.01,AR,1595467724
165,xichang,27.9,102.26,73.38,75,100,5.06,CN,1595467917
166,longyearbyen,78.22,15.64,46.24,75,96,3.29,SJ,1595467808
167,talnakh,69.49,88.4,50.0,81,11,26.84,RU,1595467917
168,acapulco,16.86,-99.89,84.2,74,75,4.7,MX,1595467917
169,khandyga,62.67,135.6,80.02,36,0,0.83,RU,1595467917
170,salalah,17.02,54.09,78.8,94,90,11.41,OM,1595467917
171,sainte-maxime,43.3,6.63,77.0,57,3,6.93,FR,1595467917
172,burnie,-41.07,145.92,55.99,54,36,5.01,AU,1595467917
173,bataipora,-22.3,-53.27,68.2,51,41,6.51,BR,1595467917
174,rantauprapat,2.1,99.83,80.28,80,96,1.05,ID,1595467917
175,jiaohe,43.73,127.34,82.58,45,1,5.1,CN,1595467918
176,bad soden-salmunster,50.28,9.37,59.0,59,21,3.0,DE,1595467918
177,fairbanks,64.84,-147.72,64.4,59,20,4.63,US,1595467802
178,parana,-31.73,-60.52,57.99,83,100,4.97,AR,1595467918
179,corrales,35.24,-106.61,79.0,47,90,4.7,US,1595467918
180,bethel,41.37,-73.41,75.2,88,40,5.82,US,1595467918
181,banda aceh,5.56,95.32,81.7,72,100,7.0,ID,1595467904
182,batagay,67.63,134.63,81.45,31,87,8.41,RU,1595467918
183,port moresby,-9.44,147.18,80.6,78,75,3.36,PG,1595467918
184,namibe,-15.2,12.15,65.03,70,0,3.53,AO,1595467918
185,cockburn town,21.46,-71.14,83.57,78,17,21.85,TC,1595467918
186,vila velha,-20.33,-40.29,75.0,78,0,8.05,BR,1595467919
187,natal,-5.79,-35.21,75.2,78,75,9.17,BR,1595467919
188,poya,-21.35,165.15,72.95,58,88,6.96,NC,1595467919
189,nara,34.69,135.8,82.99,78,75,12.75,JP,1595467638
190,boende,-0.22,20.87,72.63,79,100,2.21,CD,1595467919
191,sorong,-0.88,131.25,84.11,71,2,8.28,ID,1595467919
192,te anau,-45.42,167.72,41.22,73,42,7.43,NZ,1595467919
193,kahului,20.89,-156.47,91.4,46,40,20.8,US,1595467919
194,nanortalik,60.14,-45.24,50.13,72,100,6.2,GL,1595467920
195,xiangxiang,27.73,112.53,89.37,61,39,10.51,CN,1595467920
196,morehead,37.27,-87.18,80.6,94,1,5.77,US,1595467920
197,gueret,46.17,1.87,68.0,49,0,6.93,FR,1595467920
198,jacksonville,30.33,-81.66,80.6,83,75,6.93,US,1595467783
199,alta floresta,-9.88,-56.09,73.6,46,37,3.71,BR,1595467920
200,nouadhibou,20.93,-17.03,71.6,83,85,13.87,MR,1595467920
201,svetlogorsk,52.63,29.73,48.42,94,0,7.2,BY,1595467920
202,morondava,-20.28,44.28,68.11,59,0,13.69,MG,1595467921
203,coronado,32.69,-117.18,73.99,64,75,6.93,US,1595467921
204,porteirinha,-15.74,-43.03,62.19,57,0,7.31,BR,1595467921
205,kurilsk,45.23,147.88,57.04,94,100,7.87,RU,1595467921
206,chicama,-7.84,-79.15,61.07,83,6,5.66,PE,1595467921
207,aldan,58.6,125.39,71.62,42,10,6.64,RU,1595467921
208,awjilah,29.11,21.29,72.55,49,0,9.62,LY,1595467921
209,riacho de santana,-13.61,-42.94,68.7,48,0,13.09,BR,1595467921
210,sitka,57.05,-135.33,57.2,87,90,8.05,US,1595467813
211,bhadasar,28.28,74.32,86.7,59,5,4.72,IN,1595467921
212,mayo,38.89,-76.51,75.2,94,1,4.56,US,1595467921
213,marrakesh,31.63,-8.01,84.2,42,0,4.7,MA,1595467921
214,poum,-20.23,164.02,72.36,68,82,17.85,NC,1595467921
